INSTNM,STABBR,ADM_RATE,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT
Yale-New Haven Hospital Dietetic Internship,CT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Yale University,CT,0.0705,5422,0.4734,0.0673,0.1013,0.1645,0.0057,0.0006,0.0598,0.1051,0.0223,59320,44000,44000
Beebe Medical Center Margaret H Rollins School of Nursing,DE,NULL,55,0.9091,0.0364,0.0182,0,0,0,0,0.0364,0,NULL,NULL,NULL
Dawn Career Institute Inc,DE,NULL,638,0.3245,0.5282,0.0737,0.0204,0,0,0.0047,0,0.0486,NULL,NULL,NULL
Delaware Technical Community College-Owens,DE,NULL,3978,0.6556,0.1878,0.0734,0.0181,0.0055,0.0008,0.0216,0.0292,0.008,8161,3380,7910
Delaware Technical Community College-Terry,DE,NULL,2857,0.5803,0.2786,0.0585,0.027,0.0049,0.0021,0.0221,0.0084,0.0182,8221,3380,7910
Delaware Technical Community College-Stanton/Wilmington,DE,NULL,6492,0.5106,0.2785,0.1034,0.0442,0.004,0.0025,0.0222,0.0199,0.0148,8203,3380,7910
Delaware State University,DE,0.4168,3719,0.11,0.7467,0.0559,0.0067,0.003,0.0013,0.043,0.0239,0.0094,20506,7336,15692
University of Delaware,DE,0.6468,17729,0.7529,0.0531,0.0694,0.0426,0.0007,0.0011,0.0264,0.0416,0.0121,21748,12112,29932
Goldey-Beacom College,DE,0.5231,548,0.5128,0.2354,0.0456,0.0383,0.0055,0,0.0274,0.0949,0.0401,32255,22140,22140
Schilling-Douglas School of Hair Design,DE,NULL,146,0.6849,0.1438,0.1301,0.0137,0,0,0.0274,0,0,NULL,NULL,NULL
Wesley College,DE,0.625,1481,0.4517,0.4173,0.054,0.0128,0.0034,0.002,0.0263,0.0027,0.0297,35199,23590,23590
Wilmington University,DE,NULL,8475,0.4847,0.2293,0.0336,0.0172,0.0109,0.0018,0.0051,0.0293,0.1882,16978,9950,9950
American University,DC,0.4312,6829,0.5671,0.064,0.1012,0.0638,0.0018,0.0004,0.0499,0.0688,0.0829,55159,40649,40649
Catholic University of America,DC,0.6007,3641,0.6311,0.0549,0.1052,0.0313,0.0016,0.0011,0.0313,0.0481,0.0953,54023,38526,38526
Corcoran College of Art and Design,DC,0.2712,275,0.5345,0.1164,0.1236,0.0836,0.0036,0.0073,0.0182,0.0545,0.0582,47459,31130,31130
University of the District of Columbia,DC,NULL,4487,0.0446,0.6189,0.0733,0.0174,0.002,0,0.0053,0.0263,0.2122,19873,5138,8778
Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,DC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Gallaudet University,DC,0.6558,1053,0.604,0.1111,0.1387,0.038,0.0038,0.0019,0.0266,0.0712,0.0047,29852,13800,13800
George Washington University,DC,0.3308,10121,0.6026,0.0653,0.0739,0.0948,0.002,0.0007,0.033,0.0879,0.0398,58925,47343,47343
Georgetown University,DC,0.1697,7261,0.5886,0.0638,0.0788,0.0919,0.0014,0.0008,0.0394,0.1073,0.0281,59900,44805,44805
Howard University,DC,0.493,6855,0.0134,0.9183,0.0036,0.013,0.0197,0.0039,0,0.028,0,40129,22683,22683
Medtech Institute,VA,NULL,1373,0.0102,0.4771,0.4341,0.0269,0.008,0,0.0379,0.0007,0.0051,NULL,NULL,NULL
Strayer University-District of Columbia,DC,NULL,871,0.0436,0.8014,0.0471,0.0149,0.0011,0.0011,0.0253,0.0207,0.0448,NULL,15495,15495
Strayer University-Takoma Park Campus,DC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15495,NULL
National Conservatory of Dramatic Arts,DC,0.75,37,0.2703,0.5676,0.1081,0,0,0,0,0.027,0.027,12848,8800,8800
Trinity Washington University,DC,0.5231,1810,0.0199,0.7215,0.1381,0.011,0.0028,0.0011,0.0138,0.0083,0.0834,30144,21630,21630
Wesley Theological Seminary,DC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Wyotech-Daytona,FL,NULL,689,0.807,0.0885,0.0421,0.0073,0.0174,0.0015,0.0232,0,0.0131,NULL,NULL,NULL
The Art Institute of Fort Lauderdale,FL,NULL,1924,0.1996,0.198,0.3591,0.013,0.001,0.0005,0,0.001,0.2277,30805,17704,17704
Atlantic Technical Center,FL,NULL,902,0.2694,0.4135,0.2605,0.0299,0.0055,0.0044,0.0166,0,0,NULL,NULL,NULL
The Baptist College of Florida,FL,0.4257,499,0.8277,0.0441,0.0381,0.002,0.008,0.002,0.0261,0,0.0521,15748,9700,9700
Barry University,FL,0.4678,4284,0.2017,0.32,0.2937,0.0135,0.0028,0.0012,0.0128,0.0721,0.0822,41019,28160,28160
Barry University Law School,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Gooding Institute of Nurse Anesthesia,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bethune-Cookman University,FL,0.666,3723,0.0223,0.895,0.0282,0.0021,0.0008,0.0027,0.0185,0.0158,0.0145,27017,14410,14410
Lynn University,FL,0.776,1732,0.3915,0.101,0.1253,0.0162,0.0087,0.0012,0,0.2385,0.1178,48735,33600,33600
GUTI The Premier Beauty & Wellness Academy,FL,NULL,129,0.4574,0.1473,0.3256,0,0.0078,0,0.0078,0.0543,0,NULL,NULL,NULL
Bradford-Union Technical Center,FL,NULL,139,0.7698,0.223,0,0,0,0.0072,0,0,0,NULL,NULL,NULL
Eastern Florida State College,FL,NULL,12736,0.6892,0.1247,0.1058,0.0188,0.0067,0.0032,0.028,0.0086,0.0149,10693,2496,9739
Broward College,FL,NULL,39162,0.2048,0.3477,0.3383,0.0271,0.0018,0.0023,0.016,0.0262,0.0357,13383,2542,8712
Fortis College-Winter Park,FL,NULL,59,0.1525,0.6441,0.1864,0,0,0,0.0169,0,0,31994,NULL,NULL
Carlos Albizu University-Miami,FL,0.3621,263,0.019,0.0266,0.8935,0.0076,0.0038,0,0,0,0.0494,22158,12048,12048
College of Central Florida,FL,NULL,7113,0.6021,0.1442,0.1258,0.0164,0.0031,0.001,0,0.0115,0.0957,13907,2522,10126
Johnson University Florida,FL,0.4172,299,0.6455,0.1171,0.1873,0.0067,0,0,0.0033,0,0.0401,26241,12470,12470
University of Central Florida,FL,0.4894,50919,0.5718,0.1056,0.2158,0.0559,0.0022,0.0025,0.029,0.0095,0.0077,19815,6317,22416
Charlotte Technical Center,FL,NULL,225,0.6844,0.1244,0.1067,0.0311,0.0089,0,0.0444,0,0,15064,2884,11231
Chipola College,FL,NULL,1635,0.7309,0.1884,0.0428,0.0043,0.0061,0.0006,0.0245,0,0.0024,9298,3120,8950
Clearwater Christian College,FL,0.7009,491,0.7943,0.0448,0.1202,0.0163,0,0,0.0143,0.0102,0,28463,17125,17125
Lorenzo Walker Institute of Technology,FL,NULL,614,0.3746,0.1075,0.4967,0.0098,0,0,0.0114,0,0,NULL,NULL,NULL
Daytona State College,FL,NULL,12993,0.687,0.1338,0.122,0.0209,0.0053,0.0022,0.0139,0.0042,0.0106,11307,3321,12391
South University-West Palm Beach,FL,0.65,972,0.2695,0.4012,0.2479,0.0401,0.0021,0.0113,0.0123,0,0.0154,28808,16360,16360
Eckerd College,FL,0.7104,2163,0.7614,0.0559,0.0791,0.0148,0.006,0.0018,0.0273,0.0393,0.0143,49802,37362,37362
Edison State College,FL,NULL,12850,0.5377,0.1237,0.2525,0.0174,0.0038,0.0021,0.0119,0.016,0.035,15635,3281,12979
Edward Waters College,FL,0.2732,862,0.0267,0.9211,0.022,0,0.0023,0,0.0151,0.0012,0.0116,22929,11525,11525
Embry-Riddle Aeronautical University-Daytona Beach,FL,0.7405,4666,0.5332,0.0574,0.0705,0.0463,0.0047,0.0024,0.0437,0.1595,0.0823,45648,31334,31334
Florida Agricultural and Mechanical University,FL,0.45,8825,0.031,0.9411,0.0113,0.0071,0.0015,0,0.0003,0.0076,0,19191,5785,17725
Florida Atlantic University,FL,0.4773,24685,0.4638,0.1871,0.2488,0.0393,0.0015,0.0016,0.0298,0.0152,0.0129,19131,4790,17234
Florida State College at Jacksonville,FL,NULL,25018,0.4775,0.2692,0.0651,0.035,0.0038,0.0055,0.0179,0.0071,0.119,11430,2830,9944
Flagler College-St Augustine,FL,0.4987,2839,0.7584,0.0395,0.0814,0.006,0.0039,0.0007,0.0257,0.0335,0.0511,28305,16180,16180
Florida College,FL,0.5875,558,0.7993,0.0556,0.0556,0.0054,0.0161,0.0036,0.0484,0.0125,0.0036,25690,14490,14490
Concorde Career Institute-Jacksonville,FL,1,630,0.3508,0.3635,0.0143,0.0397,0.0095,0.0063,0.1238,0,0.0921,NULL,NULL,NULL
Concorde Career Institute-Miramar,FL,1,508,0.0827,0.5551,0.2343,0.0295,0.0098,0.0039,0.0335,0,0.0512,NULL,NULL,NULL
Concorde Career Institute-Tampa,FL,1,454,0.2555,0.2885,0.2379,0.022,0.0066,0.0066,0.0419,0,0.141,NULL,NULL,NULL
Adventist University of Health Sciences,FL,0.1336,2064,0.4748,0.1434,0.2016,0.0562,0.0039,0.0044,0.0199,0.0048,0.0911,21358,11830,11830
Florida Institute of Technology,FL,0.6045,3191,0.4253,0.0526,0.0611,0.0185,0.0009,0.0013,0.0229,0.3027,0.1147,52490,36020,36020
Florida Institute of Ultrasound Inc,FL,NULL,68,0.9265,0.0441,0,0.0294,0,0,0,0,0,NULL,NULL,NULL
Florida International University,FL,0.4304,38234,0.1007,0.1221,0.6705,0.0269,0.0008,0.0014,0.018,0.0472,0.0124,18426,6496,18895
Florida Keys Community College,FL,NULL,964,0.6027,0.0871,0.2344,0.0156,0.0073,0,0.0176,0.0041,0.0311,18699,3276,10726
Florida Memorial University,FL,0.4159,1517,0.0046,0.7423,0.0409,0.0013,0,0,0.0105,0.0989,0.1015,25036,14776,14776
Florida Career College-Miami,FL,NULL,5818,0.1253,0.4605,0.2958,0.0057,0.0009,0.0014,0.006,0,0.1045,46564,18184,18184
Florida School of Massage,FL,NULL,70,0.8286,0.0857,0.0571,0.0143,0,0,0,0.0143,0,NULL,NULL,NULL
Florida Southern College,FL,0.4989,2379,0.7243,0.0593,0.0925,0.0164,0.0017,0.0013,0.0399,0.0542,0.0105,38413,28580,28580
Florida State University,FL,0.5681,32086,0.667,0.085,0.1704,0.0251,0.0038,0.0018,0.0228,0.0104,0.0137,20774,6507,21673
Florida Technical College,FL,NULL,4330,0.2143,0.1942,0.5487,0.0039,0.009,0.0012,0.0192,0.0005,0.009,NULL,NULL,NULL
University of Southernmost Florida,FL,NULL,99,0.0505,0.202,0.7172,0.0202,0,0,0.0101,0,0,11673,11103,11103
University of Southernmost Florida-Coral Gables Campus,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11103,NULL
University of Florida,FL,0.4655,32346,0.5843,0.074,0.1902,0.0754,0.0026,0.007,0.0282,0.0105,0.0277,20456,6263,28541
Everest University-Pompano Beach,FL,NULL,1746,0.1793,0.6661,0.0876,0.0046,0.0029,0.0006,0.0218,0.0023,0.0349,27860,14796,14796
Fort Pierce Beauty Academy,FL,NULL,28,0.2143,0.5714,0.1786,0,0.0357,0,0,0,0,NULL,NULL,NULL
Full Sail University,FL,NULL,18880,0.3795,0.2155,0.0748,0.0125,0.0065,0.0022,0.1297,0.024,0.1553,35899,22088,22088
George Stone Technical Center,FL,NULL,675,0.603,0.2948,0.0267,0.0222,0.0133,0.0074,0.0326,0,0,NULL,NULL,NULL
George T Baker Aviation School,FL,NULL,710,0.0958,0.131,0.762,0.0056,0.0014,0,0.0028,0,0.0014,NULL,NULL,NULL
Gulf Coast State College,FL,NULL,3643,0.7354,0.1156,0.0554,0.0266,0.0049,0,0.0327,0.0011,0.0283,9810,2765,10072
Key College,FL,NULL,68,0.5882,0.2206,0.1912,0,0,0,0,0,0,21744,11085,11085
Hillsborough Community College,FL,NULL,23596,0.3685,0.1769,0.2578,0.0271,0.0047,0.0024,0.0206,0.0286,0.1135,9858,2506,9111
Hobe Sound Bible College,FL,NULL,194,0.8144,0.0979,0.0155,0,0,0,0,0.0361,0.0361,12303,5700,5700
Hollywood Institute of Beauty Careers,FL,NULL,73,0.1233,0.7534,0.1233,0,0,0,0,0,0,NULL,NULL,NULL
Cortiva Institute-Florida,FL,NULL,173,0.6358,0.1156,0.1156,0.0751,0.0173,0.0058,0.0289,0,0.0058,NULL,NULL,NULL
Indian River State College,FL,NULL,13993,0.5737,0.1831,0.166,0.0143,0.002,0.0024,0.0168,0.0124,0.0292,6709,2764,10201
International Academy of Design and Technology-Tampa,FL,NULL,474,0.3819,0.2426,0.1835,0.0127,0.0084,0.0084,0.0401,0,0.1224,22376,15600,15600
International Academy,FL,NULL,257,0.463,0.4202,0.0973,0.0117,0,0,0,0.0078,0,NULL,NULL,NULL
AI Miami International University of Art and Design,FL,NULL,3167,0.0549,0.0268,0.4642,0.0051,0,0,0.0025,0.0013,0.4452,30422,17704,17704
ITT Technical Institute-Tampa,FL,0.7297,463,0.4471,0.2009,0.2484,0.0216,0.0043,0,0.0346,0,0.0432,26761,18048,18048
Jacksonville University,FL,0.4737,3360,0.489,0.1607,0.0708,0.0321,0.011,0.0021,0,0.0286,0.2057,42459,29900,29900
Jones College-Jacksonville,FL,NULL,445,0.1775,0.7258,0.0382,0.0022,0.0045,0,0.0315,0,0.0202,15982,7410,7410
Keiser University-Ft Lauderdale,FL,0.9331,15788,0.4047,0.2009,0.3072,0.0198,0.0026,0.0004,0.0364,0.0027,0.0253,26887,16284,16284
Keiser University-Melbourne,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16284,NULL
Keiser University-Tallahassee,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16284,NULL
Keiser University-Daytona,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16284,NULL
Keiser University-Lakeland,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16284,NULL
Keiser University- Miami,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16284,NULL
Keiser University-Orlando,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16284,NULL
Keiser University-Sarasota,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16284,NULL
Keiser University-Jacksonville,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16284,NULL
Keiser University-Tampa,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16284,NULL
Keiser University-Pembroke Pines,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16284,NULL
Keiser University-Port St Lucie,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16284,NULL
Keiser University-West Palm Beach,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16284,NULL
Keiser University-Ft Myers,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16284,NULL
Heritage Institute-Ft Myers,FL,NULL,614,0.4756,0.2166,0.2687,0,0.0049,0,0.0309,0,0.0033,NULL,NULL,NULL
La Belle Beauty School,FL,NULL,290,0,0.0103,0.9759,0.0138,0,0,0,0,0,NULL,NULL,NULL
Florida Gateway College,FL,NULL,2234,0.8071,0.1226,0.0372,0.0072,0.0049,0,0.0072,0.0013,0.0125,9879,3100,11747
Lake Technical Center,FL,NULL,637,0.7253,0.1381,0.0942,0.0157,0.0031,0,0.0235,0,0,NULL,NULL,NULL
Lake-Sumter State College,FL,NULL,3510,0.6541,0.1003,0.0972,0.0348,0.0071,0.0037,0.0219,0.0048,0.0761,9570,3172,13276
Fort Myers Institute of Technology,FL,NULL,705,0.6085,0.166,0.1901,0.0128,0.0028,0,0.0199,0,0,NULL,NULL,NULL
Lively Technical Center,FL,NULL,1017,0.5084,0.4503,0.0226,0.0098,0,0,0.0088,0,0,NULL,NULL,NULL
Lindsey Hopkins Technical Education Center,FL,NULL,890,0.0326,0.6876,0.2753,0.0011,0,0,0.0034,0,0,NULL,NULL,NULL
Loraines Academy Inc,FL,NULL,209,0.4976,0.3589,0.0526,0.0287,0.0096,0.0096,0.0239,0.0144,0.0048,NULL,NULL,NULL
Luther Rice University & Seminary,GA,NULL,510,0.5569,0.4078,0.0157,0.0157,0,0,0,0.002,0.002,22696,5832,5832
State College of Florida-Manatee-Sarasota,FL,NULL,9421,0.6499,0.0953,0.1401,0.023,0.0033,0,0.0163,0.0088,0.0632,15137,3074,11597
Manatee Technical Institute,FL,NULL,1252,0.7228,0.1206,0.131,0.016,0.0056,0.004,0,0,0,NULL,NULL,NULL
Manhattan Hairstyling Academy,FL,NULL,254,0.5079,0.1929,0.2638,0.0079,0,0,0.0118,0,0.0157,NULL,NULL,NULL
Manhattan Hairstyling Academy - North,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Traviss Career Center,FL,NULL,446,0.5987,0.1951,0.1749,0.009,0.0224,0,0,0,0,11748,3251,11805
Trinity International University-Florida,FL,NULL,257,0.1401,0.3502,0.4747,0.0078,0,0,0,0.0039,0.0233,NULL,NULL,NULL
Miami Lakes Educational Center,FL,NULL,1158,0.1874,0.4775,0.3238,0.006,0,0,0.0052,0,0,NULL,NULL,NULL
Miami Dade College,FL,NULL,61684,0.0639,0.168,0.6725,0.0089,0.0007,0.0008,0.003,0.0565,0.0257,19850,3426,11955
University of Miami,FL,0.4044,11246,0.4302,0.0728,0.2171,0.0538,0.0015,0.0012,0.0268,0.1344,0.0623,57700,42852,42852
Mid Florida Tech,FL,NULL,1460,0.4219,0.2534,0.2623,0.0247,0.0027,0.0014,0.0322,0.0007,0.0007,NULL,NULL,NULL
Beauty Schools of America-Miami,FL,NULL,631,0.0269,0.0222,0.8906,0,0,0.0539,0.0063,0,0,NULL,NULL,NULL
Remington College-Tampa Campus,FL,0.806,189,0.3439,0.291,0.3122,0.0106,0,0.0106,0.0317,0,0,24209,15995,15995
Everest Institute-North Miami,FL,NULL,768,0.0326,0.6276,0.3008,0.0026,0.0013,0,0.026,0,0.0091,25659,15552,15552
Academy of Healing Arts Massage & Facial Skin Care,FL,NULL,98,0.3265,0.2857,0.3265,0.0204,0,0,0.0408,0,0,NULL,NULL,NULL
Lincoln College of Technology-West Palm Beach,FL,NULL,738,0.2927,0.3957,0.2154,0.0136,0.0014,0.0027,0.0501,0,0.0285,25144,14624,14624
Paul Mitchell the School-Jacksonville,FL,NULL,166,0.6807,0.1807,0.0422,0.0301,0,0,0.0602,0,0.006,NULL,NULL,NULL
North Florida Community College,FL,NULL,898,0.6592,0.2628,0.0557,0.0056,0.0067,0.0011,0.0011,0.0056,0.0022,9016,3054,11400
University of North Florida,FL,0.5343,14006,0.6997,0.0985,0.0929,0.0432,0.0011,0.0009,0.0471,0.0131,0.0034,19415,6353,20756
Northwood University-Florida,FL,0.5102,609,0.2282,0.1215,0.1297,0.0033,0.0033,0,0.0066,0.2857,0.2217,33485,22130,22130
Nova Southeastern University,FL,0.5746,5053,0.3129,0.2098,0.3101,0.0657,0.0028,0.0016,0.0154,0.0501,0.0317,40783,25430,25430
Northwest Florida State College,FL,NULL,5549,0.7219,0.1002,0.0737,0.0243,0.005,0.0032,0.0414,0.0043,0.0258,13486,3064,11373
Everest University-North Orlando,FL,NULL,714,0.2353,0.4328,0.2283,0.0196,0.0028,0.007,0.0364,0.0028,0.035,26001,14436,14436
Orlando Tech,FL,NULL,392,0.3087,0.2908,0.2755,0.0408,0.0051,0,0.0714,0,0.0077,NULL,NULL,NULL
Palm Beach Atlantic University,FL,0.8412,2501,0.6126,0.1399,0.1307,0.0132,0.0036,0.0028,0.018,0.0352,0.044,37535,25532,25532
Palm Beach State College,FL,NULL,26106,0.3858,0.2468,0.2614,0.0261,0.0016,0.0016,0.0187,0.0169,0.0411,7804,2378,8612
Pasco-Hernando Community College,FL,NULL,8211,0.726,0.0452,0.1575,0.0158,0.0037,0.0018,0.0285,0.0018,0.0197,10355,3095,11792
Pensacola State College,FL,NULL,9026,0.6722,0.1657,0.0547,0.0309,0.0095,0.0047,0.0487,0.0022,0.0113,12748,2704,10875
Pinellas Technical Education Center-Clearwater,FL,NULL,1044,0.7098,0.1351,0.1073,0.0364,0.001,0,0.0105,0,0,NULL,NULL,NULL
Polk State College,FL,NULL,9443,0.5688,0.1792,0.1722,0.0223,0.0024,0.001,0.0192,0.0078,0.0271,13574,3366,12272
Radford M Locklin Technical Center,FL,NULL,277,0.7653,0.1155,0.0469,0.0072,0.0144,0,0.0505,0,0,NULL,NULL,NULL
Saint Vincent de Paul Regional Seminary,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ridge Career Center,FL,NULL,717,0.5202,0.2887,0.1702,0.0209,0,0,0,0,0,19449,3030,7530
Ringling College of Art and Design,FL,0.7331,1253,0.5794,0.0255,0.1572,0.075,0.0064,0.0024,0.0184,0.1269,0.0088,54676,38540,38540
Toni & Guy Hairdressing Academy-Jacksonville,FL,NULL,32,0.75,0.0625,0.0938,0.0313,0.0313,0,0,0,0.0313,NULL,NULL,NULL
Robert Morgan Educational Center,FL,NULL,816,0.0968,0.2696,0.6042,0.0184,0.0012,0,0.0061,0,0.0037,NULL,NULL,NULL
Rollins College,FL,0.5889,2608,0.63,0.0625,0.1599,0.0253,0.0012,0.0019,0.0272,0.0648,0.0272,56309,41460,41460
First Coast Technical College,FL,NULL,631,0.8241,0.1315,0.0301,0.0063,0,0,0,0,0.0079,NULL,NULL,NULL
Saint Leo University,FL,0.7662,11993,0.4017,0.349,0.1041,0.0115,0.0053,0.0023,0.0139,0.0244,0.0878,31609,19920,19920
St Petersburg College,FL,NULL,27166,0.6556,0.1464,0.1022,0.0329,0.0035,0.0022,0.0179,0.0085,0.0307,12727,3232,11477
Pinellas Technical Education Center-St Petersburg,FL,NULL,1128,0.5399,0.3307,0.0789,0.031,0.0062,0,0.008,0,0.0053,NULL,NULL,NULL
Santa Fe College,FL,NULL,13764,0.6006,0.1654,0.138,0.0238,0.0033,0.0014,0.0315,0.0173,0.0187,12137,2532,9157
Sarasota County Technical Institute,FL,NULL,670,0.7776,0.0537,0.1328,0.0119,0.0075,0,0.0164,0,0,NULL,NULL,NULL
Argosy University-Sarasota,FL,NULL,128,0.4688,0.3594,0.125,0.0078,0.0078,0.0078,0,0,0.0234,NULL,13663,13663
Seminole State College of Florida,FL,NULL,16567,0.5053,0.1752,0.2336,0.0276,0.0029,0.0023,0.0289,0.0174,0.0068,12953,3131,11456
Sheridan Technical Center,FL,NULL,1244,0.2653,0.4317,0.2629,0.0193,0.0056,0,0.0153,0,0,NULL,NULL,NULL
Saint John Vianney College Seminary,FL,1,77,0.3506,0.0519,0.3636,0,0,0.026,0,0.2078,0,32000,21100,21100
Saint Johns River State College,FL,NULL,5173,0.7203,0.1048,0.0783,0.0188,0.0041,0.0035,0.0238,0.0019,0.0447,11904,2998,10668
South Florida State College,FL,NULL,2031,0.5332,0.1019,0.3013,0.0138,0.0015,0.0049,0.0143,0.0113,0.0177,10402,3175,11869
University of South Florida-Main Campus,FL,0.4524,30376,0.5493,0.1106,0.1961,0.0603,0.0021,0.0029,0.0322,0.0317,0.0147,19299,6410,17324
St Thomas University,FL,0.4567,1035,0.0802,0.2396,0.4251,0.0029,0,0.001,0.0126,0.1865,0.0522,37090,26370,26370
Stenotype Institute of Jacksonville Inc-Jacksonville,FL,NULL,226,0.7832,0.1549,0.0575,0.0044,0,0,0,0,0,27794,16100,16100
Stetson University,FL,0.5925,2711,0.6562,0.0819,0.1387,0.0207,0.003,0.0007,0.0421,0.0443,0.0125,49939,38330,38330
Southeastern University,FL,0.5932,2633,0.6217,0.1375,0.1591,0.0133,0.0042,0.0042,0.0087,0.0091,0.0422,30333,19986,19986
Benes International School of Beauty,FL,NULL,281,0.7011,0.0854,0.1032,0.0036,0,0,0,0,0.1068,NULL,NULL,NULL
Suwannee-Hamilton Technical Center,FL,NULL,142,0.6197,0.338,0.0423,0,0,0,0,0,0,NULL,NULL,NULL
Tallahassee Community College,FL,NULL,12249,0.4807,0.3426,0.0966,0.0109,0.0017,0.0008,0.0285,0.0105,0.0276,8985,2024,8051
Talmudic College of Florida,FL,NULL,32,0.75,0,0.0938,0,0,0,0,0.1563,0,25600,12500,12500
Everest University-Tampa,FL,NULL,738,0.252,0.3238,0.3238,0.0136,0.0014,0.0014,0.0501,0,0.0339,27608,15156,15156
Everest University-Largo,FL,NULL,468,0.5449,0.2415,0.1047,0.015,0.0064,0.0085,0.0342,0,0.0449,27296,15156,15156
The University of Tampa,FL,0.5221,6476,0.5923,0.0576,0.12,0.0134,0.0019,0.0012,0.0236,0.1039,0.086,37714,25772,25772
Taylor Technical Institute,FL,NULL,58,0.8966,0.069,0,0.0172,0.0172,0,0,0,0,NULL,NULL,NULL
Tom P Haney Technical Center,FL,NULL,421,0.734,0.1496,0.0309,0.0214,0.0119,0.0071,0.0451,0,0,NULL,NULL,NULL
Trinity Baptist College,FL,0.4847,289,0.6505,0.2457,0.0484,0.0035,0.0104,0,0.0104,0.0277,0.0035,16752,9840,9840
Trinity College of Florida,FL,NULL,222,0.5045,0.2252,0.2027,0.0135,0,0,0.0045,0.0225,0.027,21986,13320,13320
Fashion Focus Hair Academy,FL,NULL,79,0.7848,0.1139,0.1013,0,0,0,0,0,0,NULL,NULL,NULL
Valencia College,FL,NULL,34819,0.3347,0.1834,0.3396,0.0412,0.0031,0.0042,0.023,0.0167,0.0539,11491,2378,9005
Warner University,FL,0.3378,1023,0.4194,0.4018,0.1232,0.0088,0.0029,0.002,0.0108,0.0205,0.0108,28555,18430,18430
Washington-Holmes Technical Center,FL,NULL,349,0.8023,0.1719,0.0086,0.0086,0.0029,0.0057,0,0,0,NULL,NULL,NULL
Webber International University,FL,0.6377,662,0.4819,0.2175,0.1556,0.0196,0.003,0,0.0227,0.0831,0.0166,34949,21050,21050
Rasmussen College-Florida,FL,0.7439,5627,0.6044,0.1713,0.0645,0.0162,0.0121,0.0046,0.0521,0,0.0748,24315,10764,10764
Rasmussen College-New Port Richey,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10764,NULL
Rasmussen College-Fort Myers,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10764,NULL
Rasmussen College-Tampa/Brandon,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10764,NULL
Rasmussen College-Land O' Lakes,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10764,NULL
The University of West Florida,FL,0.4808,9906,0.6741,0.1264,0.0889,0.0297,0.0073,0.0038,0.044,0.0154,0.0103,18158,6357,19238
