INSTNM,STABBR,ADM_RATE,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT
Prince Institute-Southeast,AL,NULL,102,0.6667,0.2745,0.0294,0.0098,0,0,0,0,0.0196,24676,9685,9685
Reid State Technical College,AL,NULL,414,0.471,0.4928,0.0121,0.0024,0.0145,0.0048,0.0024,0,0,9693,4260,7590
Bishop State Community College,AL,NULL,3363,0.2551,0.672,0.0152,0.0149,0.0077,0.0015,0.0095,0.0214,0.0027,10059,4200,7530
Samford University,AL,0.7697,2995,0.8114,0.0664,0.0664,0.008,0.003,0.0007,0.01,0.0304,0.0037,38835,26328,26328
Selma University,AL,NULL,447,0.0336,0.9664,0,0,0,0,0,0,0,11187,5840,5840
Shelton State Community College,AL,NULL,4859,0.5526,0.347,0.0047,0.0111,0.0033,0.0004,0.0132,0.0012,0.0665,13007,3900,7230
Snead State Community College,AL,NULL,2161,0.8242,0.0551,0.0689,0.0079,0.0222,0.0005,0,0.0014,0.0199,9622,4260,7590
University of South Alabama,AL,0.8604,11048,0.6374,0.229,0.0246,0.0337,0.0088,0.0018,0.0226,0.0284,0.0137,17125,6948,13596
Spring Hill College,AL,0.4627,1269,0.6643,0.1608,0.0875,0.0071,0.0063,0,0.0236,0.0134,0.037,43325,30924,30924
Southeastern Bible College,AL,0.9615,160,0.625,0.2938,0.0313,0,0.0063,0,0.0063,0.0063,0.0313,19127,11370,11370
Stillman College,AL,0.43,863,0.0626,0.9224,0.0104,0.0023,0,0,0,0,0.0023,24744,15901,15901
Talladega College,AL,NULL,894,0.0391,0.8949,0.0257,0.0045,0,0.0056,0.0034,0,0.0268,18758,11492,11492
H Councill Trenholm State Technical College,AL,NULL,1262,0.4263,0.5523,0.0048,0.0095,0.0008,0,0.0024,0,0.004,9955,3288,5952
Troy University,AL,0.6821,16208,0.4908,0.3672,0.0297,0.0083,0.0081,0.001,0.0201,0.0239,0.051,16877,7276,13612
Troy University-Phenix City Campus,AL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7276,13612
Troy University-Montgomery Campus,AL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7276,13612
Troy University-Dothan Campus,AL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7276,13612
Troy University-eTROY,AL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7392,7392
Troy University-Global Campus,AL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5760,5760
Tuskegee University,AL,0.3511,2584,0.0019,0.7752,0.0019,0.0008,0.0004,0,0,0.0031,0.2167,32853,18900,18900
United States Sports Academy,AL,NULL,80,0.2125,0.1125,0.0875,0.025,0,0,0.0125,0,0.55,NULL,NULL,NULL
Bevill State Community College,AL,NULL,3212,0.8032,0.1541,0.014,0.0044,0.0025,0,0.0075,0,0.0143,13443,4230,7560
University of Alaska Anchorage,AK,NULL,13116,0.5759,0.0361,0.0735,0.0722,0.0681,0.0085,0.0982,0.0184,0.0491,13180,5147,15206
Alaska Bible College,AK,NULL,26,0.8846,0,0.0385,0,0.0385,0,0.0385,0,0,13380,9200,9200
